ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A61,NTC,NTC,1,erm(F),Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A72,NTC,NTC,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A71,NTC,NTC,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A70,NTC,NTC,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A69,NTC,NTC,1,aadE,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A68,NTC,NTC,1,aadE,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A67,NTC,NTC,1,aadE,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A78,NTC,NTC,1,tnpA6,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A77,NTC,NTC,1,tnpA6,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A76,NTC,NTC,1,tnpA6,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A75,NTC,NTC,1,sat4,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A74,NTC,NTC,1,sat4,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A73,NTC,NTC,1,sat4,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A84,NTC,NTC,1,tet44,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A83,NTC,NTC,1,tet44,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A82,NTC,NTC,1,tet44,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A81,NTC,NTC,1,tetQ,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A80,NTC,NTC,1,tetQ,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A79,NTC,NTC,1,tetQ,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A90,NTC,NTC,1,sulA/folP,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A89,NTC,NTC,1,sulA/folP,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A88,NTC,NTC,1,sulA/folP,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A87,NTC,NTC,1,aac3-Via,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A86,NTC,NTC,1,aac3-Via,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A85,NTC,NTC,1,aac3-Via,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A96,NTC,NTC,1,IS6100,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A95,NTC,NTC,1,IS6100,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A94,NTC,NTC,1,IS6100,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A93,NTC,NTC,1,tetW,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A92,NTC,NTC,1,tetW,Test,999,-1,0,Flag,0.002436086,999,999,0
S96-A91,NTC,NTC,1,tetW,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A01,P3_5,Unknown,1,16S_155y_1392,Test,13.39822186,5.97E-05,0.715328444,Pass,0.002436086,89.05703255,999,1
S06-A02,P3_5,Unknown,1,16S_155y_1392,Test,12.88184735,0.000108144,0.916076513,Pass,0.002436086,88.9998781,999,1
S06-A03,P3_5,Unknown,1,16S_155y_1392,Test,13.82808492,3.64E-05,0.796620454,Pass,0.002436086,88.98193437,999,1
S06-A04,P3_5,Unknown,1,tetO,Test,25.17171518,5541407.193,1,Pass,0.002436086,80.45600953,999,1
S06-A05,P3_5,Unknown,1,tetO,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A06,P3_5,Unknown,1,tetO,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A07,P3_5,Unknown,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A08,P3_5,Unknown,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A09,P3_5,Unknown,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A10,P3_5,Unknown,1,tetT,Test,24.17549428,-1,1,Pass,0.002436086,77.11178109,999,1
S06-A11,P3_5,Unknown,1,tetT,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A12,P3_5,Unknown,1,tetT,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A13,P3_5,Unknown,1,tet33_241_388,Test,24.82908383,3.33E-08,1,Pass,0.002436086,89.67697532,999,1
S06-A14,P3_5,Unknown,1,tet33_241_388,Test,25.64506102,1.84E-08,1,Pass,0.002436086,87.74804418,999,1
S06-A15,P3_5,Unknown,1,tet33_241_388,Test,25.10480643,2.73E-08,1,Pass,0.002436086,82.36771032,999,1
S06-A16,P3_5,Unknown,1,tetM,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A17,P3_5,Unknown,1,tetM,Test,22.40522008,-1,1,Pass,0.002436086,81.17420542,999,1
S06-A18,P3_5,Unknown,1,tetM,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A19,P3_5,Unknown,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A20,P3_5,Unknown,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A21,P3_5,Unknown,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A22,P3_5,Unknown,1,sulIII-marko,Test,8.080003512,0.060368996,1,Pass,0.002436086,73.75365271,999,1
S06-A23,P3_5,Unknown,1,sulIII-marko,Test,7.771026677,0.014362506,1,Pass,0.002436086,73.83724527,999,1
S06-A24,P3_5,Unknown,1,sulIII-marko,Test,7.558805317,0.005356985,1,Pass,0.002436086,73.89478452,999,1
S06-A25,P3_5,Unknown,1,aphA3,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A26,P3_5,Unknown,1,aphA3,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A27,P3_5,Unknown,1,aphA3,Test,25.25730758,-1,1,Pass,0.002436086,80.96878139,999,1
S06-A28,P3_5,Unknown,1,tetL,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A29,P3_5,Unknown,1,tetL,Test,23.01176388,-1,1,Pass,0.002436086,81.14658511,999,1
S06-A30,P3_5,Unknown,1,tetL,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A31,P3_5,Unknown,1,erm(B),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A32,P3_5,Unknown,1,erm(B),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A33,P3_5,Unknown,1,erm(B),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A34,P3_5,Unknown,1,intI1F165_clinical,Test,28.16501691,-1,0,Flag,0.002436086,999,999,0
S06-A35,P3_5,Unknown,1,intI1F165_clinical,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A36,P3_5,Unknown,1,intI1F165_clinical,Test,26.20712698,-1,1,Pass,0.002436086,88.55966681,999,1
S06-A37,P3_5,Unknown,1,erm(35),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A38,P3_5,Unknown,1,erm(35),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A39,P3_5,Unknown,1,erm(35),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A40,P3_5,Unknown,1,tetX,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A41,P3_5,Unknown,1,tetX,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A42,P3_5,Unknown,1,tetX,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A43,P3_5,Unknown,1,ermT,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A44,P3_5,Unknown,1,ermT,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A45,P3_5,Unknown,1,ermT,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A46,P3_5,Unknown,1,intl2,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A47,P3_5,Unknown,1,intl2,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A48,P3_5,Unknown,1,intl2,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A54,P3_5,Unknown,1,tnpA2,Test,21.22687062,-1,1,Pass,0.002436086,85.61902665,999,1
S06-A53,P3_5,Unknown,1,tnpA2,Test,21.1329747,-1,1,Pass,0.002436086,85.55798108,999,1
S06-A52,P3_5,Unknown,1,tnpA2,Test,22.89251423,-1,1,Pass,0.002436086,85.5936735,999,1
S06-A51,P3_5,Unknown,1,tet(36),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A50,P3_5,Unknown,1,tet(36),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A49,P3_5,Unknown,1,tet(36),Test,23.45372771,1.84E-07,1,Pass,0.002436086,81.03615405,999,1
S06-A60,P3_5,Unknown,1,intl3,Test,22.98956122,-1,1,Pass,0.002436086,85.99777562,999,1
S06-A59,P3_5,Unknown,1,intl3,Test,26.26181905,-1,1,Pass,0.002436086,82.16097524,999,1
S06-A58,P3_5,Unknown,1,intl3,Test,24.12820622,-1,1,Pass,0.002436086,88.10082626,999,1
S06-A57,P3_5,Unknown,1,aadD,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A56,P3_5,Unknown,1,aadD,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A55,P3_5,Unknown,1,aadD,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A66,P3_5,Unknown,1,tnpA5,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A65,P3_5,Unknown,1,tnpA5,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A64,P3_5,Unknown,1,tnpA5,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A63,P3_5,Unknown,1,erm(F),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A62,P3_5,Unknown,1,erm(F),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A61,P3_5,Unknown,1,erm(F),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A72,P3_5,Unknown,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A71,P3_5,Unknown,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A70,P3_5,Unknown,1,erm(Q),Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A69,P3_5,Unknown,1,aadE,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A68,P3_5,Unknown,1,aadE,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A67,P3_5,Unknown,1,aadE,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A78,P3_5,Unknown,1,tnpA6,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A77,P3_5,Unknown,1,tnpA6,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A76,P3_5,Unknown,1,tnpA6,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A75,P3_5,Unknown,1,sat4,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A74,P3_5,Unknown,1,sat4,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A73,P3_5,Unknown,1,sat4,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A84,P3_5,Unknown,1,tet44,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A83,P3_5,Unknown,1,tet44,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A82,P3_5,Unknown,1,tet44,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A81,P3_5,Unknown,1,tetQ,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A80,P3_5,Unknown,1,tetQ,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A79,P3_5,Unknown,1,tetQ,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A90,P3_5,Unknown,1,sulA/folP,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A89,P3_5,Unknown,1,sulA/folP,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A88,P3_5,Unknown,1,sulA/folP,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A87,P3_5,Unknown,1,aac3-Via,Test,24.24048625,-1,0.981649008,Pass,0.002436086,87.9501917,999,1
S06-A86,P3_5,Unknown,1,aac3-Via,Test,23.69043468,-1,1,Pass,0.002436086,89.71616306,999,1
S06-A85,P3_5,Unknown,1,aac3-Via,Test,23.57271135,-1,0.981114457,Pass,0.002436086,90.00776515,999,1
S06-A96,P3_5,Unknown,1,IS6100,Test,20.31694721,-1,1,Pass,0.002436086,88.28813295,999,1
S06-A95,P3_5,Unknown,1,IS6100,Test,20.29935244,-1,1,Pass,0.002436086,88.31797617,999,1
S06-A94,P3_5,Unknown,1,IS6100,Test,20.89860539,-1,1,Pass,0.002436086,88.57426538,999,1
